Parameter,Type
ribosome_capacity,machine_efficiencies
k_UpperGlycolysis_efficiency_foreward,enzyme_efficiencies_forward
k_CitratCycle_efficiency_foreward,enzyme_efficiencies_forward
k_AA_synthesis_efficiency_foreward,enzyme_efficiencies_forward
k_fermentation_NAD_regeneration_efficiency_foreward,enzyme_efficiencies_forward
k_fermentation_ATP_generation_efficiency_foreward,enzyme_efficiencies_forward
k_respiration_efficiency_foreward,enzyme_efficiencies_forward
nonenzymatic_proteins_Cytoplasm,target_values
maintenance_atp,target_values
Cytoplasm_density,maximal_densities
Membrane_density,maximal_densities
M_Glucose,medium_composition
